TIME,CH1
8405.07812,-5.984375
8425.07812,-6.15625
8445.07812,-6.109375
8465.07812,-5.5
8485.07813,-4.4375
8505.07812,-3.75
8525.07812,-3.8125
8545.07813,-4.09375
8565.07812,-4.03125
8585.07812,-3.921875
8605.07812,-4.078125
8625.07812,-3.859375
8645.07812,-2.5
8665.07812,-0.640625
8685.07813,0.3125
8705.07812,0.03125
8725.07812,-0.328125
8745.07812,0.328125
8765.07812,1.75
8785.07812,3.03125
8805.07812,3.953125
8825.07813,4.796875
8845.07812,5.53125
8865.07812,5.875
8885.07812,6.21875
8905.07812,7.078125
8925.07812,7.953125
8945.07812,8
8965.07813,7.9375
8985.07812,9.21875
9005.07812,11.5
9025.07813,12.75
9045.07812,12.3125
9065.07812,11.546875
9085.07812,11.703125
9105.07812,12.546875
9125.07812,13.65625
9145.07812,15.015625
9165.07813,16.15625
9185.07812,16.40625
9205.07812,15.953125
9225.07812,15.734375
9245.07812,16.0625
9265.07812,16.3125
9285.07812,16.03125
9305.07813,15.671875
9325.07812,15.890625
9345.07812,16.703125
9365.07812,17.53125
9385.07812,17.96875
9405.07812,18.234375
9425.07812,18.90625
9445.07813,19.90625
9465.07812,20.46875
9485.07812,20.0625
9505.07813,19.0625
9525.07812,18.125
9545.07812,17.359375
9565.07812,16.53125
9585.07812,15.875
9605.07812,15.78125
9625.07812,16.09375
9645.07813,16.1875
9665.07812,15.984375
9685.07812,15.90625
9705.07812,16.078125
9725.07812,16.09375
9745.07812,15.9375
9765.07812,15.984375
9785.07813,16.1875
9805.07812,16
9825.07812,15.203125
9845.07812,14.1875
9865.07812,13.25
9885.07812,12.46875
9905.07812,11.984375
9925.07813,11.859375
9945.07812,11.9375
9965.07812,12.0625
9985.07812,12.296875
10005.0781,12.125
10025.0781,10.734375
10045.0781,8.546875
10065.0781,7.234375
10085.0781,7.71875
10105.0781,8.734375
10125.0781,8.390625
10145.0781,6.390625
10165.0781,4.265625
10185.0781,3.609375
10205.0781,4.140625
10225.0781,4.0625
10245.0781,2.4375
10265.0781,0.578125
10285.0781,0
10305.0781,-0.078125
10325.0781,-1.375
10345.0781,-3.5
10365.0781,-4.3125
10385.0781,-3.625
10405.0781,-3.609375
10425.0781,-5.484375
10445.0781,-7.703125
10465.0781,-8.375
10485.0781,-7.90625
10505.0781,-8.0625
10525.0781,-9.46875
10545.0781,-11.1875
10565.0781,-12.1875
10585.0781,-12.3125
10605.0781,-11.90625
10625.0781,-11.484375
10645.0781,-11.890625
10665.0781,-13.53125
10685.0781,-15.5
10705.0781,-16.359375
10725.0781,-16.140625
10745.0781,-16
10765.0781,-16.015625
10785.0781,-14.890625
10805.0781,-12.546875
10825.0781,-11.015625
10845.0781,-11.65625
10865.0781,-12.9375
10885.0781,-12.359375
10905.0781,-10
10925.0781,-8.234375
10945.0781,-8.140625
10965.0781,-8.078125
10985.0781,-6.5
11005.0781,-4.453125
11025.0781,-3.71875
11045.0781,-3.859375
11065.0781,-2.984375
11085.0781,-0.765625
11105.0781,1.15625
11125.0781,1.890625
11145.0781,2.4375
11165.0781,3.921875
11185.0781,5.890625
11205.0781,7.375
11225.0781,8.4375
11245.0781,9.828125
11265.0781,11.25
11285.0781,11.90625
11305.0781,12.25
11325.0781,13.53125
11345.0781,15.46875
11365.0781,16.265625
11385.0781,15.6875
11405.0781,15.734375
11425.0781,17.546875
11445.0781,19.65625
11465.0781,20.390625
11485.0781,20.140625
11505.0781,20.03125
11525.0781,20
11545.0781,19.671875
11565.0781,19.90625
11585.0781,21.484375
11605.0781,23.53125
11625.0781,24.484375
11645.0781,24.234375
11665.0781,23.890625
11685.0781,23.90625
11705.0781,23.96875
11725.0781,24.0625
11745.0781,24.328125
11765.0781,24.125
11785.0781,22.65625
